set_num;name;year;theme_id;theme_name;num_parts;img_url;Price
76964-1;Dinosaur Fossils: T. rex Skull;2024;602;Jurassic World;575;https://cdn.rebrickable.com/media/sets/76964-1.jpg;39.99
43237-1;Isabela's Flowerpot;2024;608;Disney;641;https://cdn.rebrickable.com/media/sets/43237-1.jpg;39.99
43238-1;Elsa's Frozen Castle;2024;579;Disney Princess;163;https://cdn.rebrickable.com/media/sets/43238-1.jpg;44.99
76430-1;Hogwarts Castle Owlery;2024;246;Harry Potter;364;https://cdn.rebrickable.com/media/sets/76430-1.jpg;44.99
42615-1;Pet Adoption Day;2024;494;Friends;400;https://cdn.rebrickable.com/media/sets/42615-1.jpg;44.99
42614-1;Vintage Fashion Store;2024;494;Friends;409;https://cdn.rebrickable.com/media/sets/42614-1.jpg;44.99
21257-1;The Devourer Showdown;2024;577;Minecraft;420;https://cdn.rebrickable.com/media/sets/21257-1.jpg;44.99
71432-1;Dorrie's Sunken Shipwreck Adventure Expansion Set;2024;690;Super Mario;500;https://cdn.rebrickable.com/media/sets/71432-1.jpg;44.99
76922-1;BMW M4 GT3 & BMW M Hybrid V8 Race Cars;2024;601;Speed Champions;676;https://cdn.rebrickable.com/media/sets/76922-1.jpg;44.99
10423-1;Buildable People with Big Emotions;2024;504;Duplo;71;https://cdn.rebrickable.com/media/sets/10423-1.jpg;49.99
10416-1;Caring for Animals at the Farm;2024;504;Duplo;74;https://cdn.rebrickable.com/media/sets/10416-1.jpg;49.99
75384-1;The Crimson Firehawk;2024;158;Star Wars;136;https://cdn.rebrickable.com/media/sets/75384-1.jpg;49.99
